Date,Open,High,Low,Close,Adj Close,Volume,Company,50-Day SMA,200-Day SMA,Volatility,Daily Returns
2018-07-09,143.990005,144.440002,142.75,143.199997,139.806335,13626200,VISA,128.59763876,117.91379033499999,0.04535645556780561,0.022349911043865855
2018-07-09,114.5,114.769997,113.629997,114.32,101.355843,10955600,JP-MRGN,97.10052173999999,93.59556450499998,0.03844293897276837,-0.027477721336356953
2018-07-09,52.02,53.669998,50.450001,52.647999,52.647999,112459500,TSLA,63.39331990000001,65.00880000000001,0.10112502441699098,-0.30647840574230834
2018-07-09,96.935501,98.760002,96.8675,97.6035,97.6035,97852000,AMZN,82.49438976000002,69.46761974500001,0.07385790567525662,0.04810251870514004
2018-07-09,108.230003,108.720001,107.230003,108.209999,103.73172,22498600,M-SOFT,94.92607972,86.14738605499998,0.04708728010195811,-0.00232894093803504
2018-07-09,55.462502,56.342499,55.177502,55.325001,53.374985,150479200,AAPL,45.24588428,42.11545384,0.07222287405975847,0.07226169999059429
2018-07-09,67.25,69.232498,66.797501,67.964996,67.436836,29542000,NVDA,60.8112794,55.018924285000004,0.15020263216476137,0.05860514630565561
2018-07-09,342.200012,355.75,341.25,348.679993,348.679993,9105800,NTFLX,346.52560244,271.081950325,0.13597404648871075,-0.008953170896146445
2018-07-09,95.800003,96.480003,95.639999,95.830002,89.770996,6672400,WLMART,81.98631332000001,83.18511199499999,0.07414298838119657,0.07370611058181908
2018-07-11,110.370003,111.730003,109.349998,111.480003,99.53006,12679600,JP-MRGN,97.19006703999999,93.69596459,0.0384546760389143,-0.01801359394741542
2018-07-11,312.899994,328.559998,311.0,327.5,327.5,13328300,NTFLX,348.87580234,271.87275034500004,0.13656520855659413,-0.06074335615809201
2018-07-11,53.450001,54.772999,53.294998,54.669498,54.669498,41168000,GOOGL,55.484149980000005,53.158739955,0.05209447955574934,-0.06133088843297496
2018-07-11,109.440002,112.239998,109.400002,111.959999,107.32653,37901700,M-SOFT,95.40339706,86.339565315,0.04740209647457508,0.03465487702315184
